"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_meth","project_id"
"mgm4502539","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.59845,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502543","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011",39.5997833,-89.7643667,"hartman","illumina","mgp2076"
"mgm4502923","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",38.198,-89.6276,"hartman","illumina","mgp2205"
"mgm4502924","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5853,-89.7607167,"hartman","illumina","mgp2205"
"mgm4502925","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.21975,-88.4673667,"hartman","illumina","mgp2205"
"mgm4502926","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.2212833,-88.4665333,"hartman","illumina","mgp2205"
"mgm4502927","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.0776667,-88.2178667,"hartman","illumina","mgp2205"
"mgm4502928","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",40.0776833,-88.2157167,"hartman","illumina","mgp2205"
"mgm4502930","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3767667,-90.3235,"hartman","illumina","mgp2205"
"mgm4502931","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3756667,-90.3237167,"hartman","illumina","mgp2205"
"mgm4502932","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3784833,-90.3239167,"hartman","illumina","mgp2205"
"mgm4502933","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.3788,-90.3226167,"hartman","illumina","mgp2205"
"mgm4502934","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5976167,-89.7643167,"hartman","illumina","mgp2205"
"mgm4502935","host-associated","terrestrial","plant_associated","rhizosphere","USA","ISA-SMC-2011b",39.5997167,-89.7609333,"hartman","illumina","mgp2205"
"mgm4535626","host-associated","terrestrial","animal_host-associated","animal_feces","Switzerland","LCM mouse microbiota metagenome",47.24,8.3,"hardt","illumina","mgp5902"
"mgm4535627","host-associated","terrestrial","animal_host-associated","animal_feces","Switzerland","LCM mouse microbiota metagenome",47.24,8.3,"hardt","illumina","mgp5902"
"mgm4749366","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample A1",34.3992,-118.9182,"egusa","illumina","mgp80732"
"mgm4749367","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample A1",34.3992,-118.9182,"egusa","illumina","mgp80732"
"mgm4743181","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.802089,-96.681604,"dvorak","illumina","mgp80013"
"mgm4754043","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.798002,-96.674366,"dvorak","illumina","mgp80013"
"mgm4754047","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.796202,-96.671152,"dvorak","illumina","mgp80013"
"mgm4754048","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.798002,-96.674366,"dvorak","illumina","mgp80013"
"mgm4754510","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.783025,-96.636345,"dvorak","illumina","mgp80013"
"mgm4754512","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.783744,-96.635503,"dvorak","illumina","mgp80013"
"mgm4754513","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.806013,-96.685911,"dvorak","illumina","mgp80013"
"mgm4754520","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.810921,-96.666221,"dvorak","illumina","mgp80013"
"mgm4754521","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.802089,-96.681604,"dvorak","illumina","mgp80013"
"mgm4715469","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4715476","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina","mgp19727"
"mgm4665127","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina","mgp15049"
"mgm4666325","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina","mgp15049"
"mgm4666326","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina","mgp15049"
"mgm4666327","host-associated","terrestrial","animal_host-associated","animal_feces","South Korea","swine AGP",33.455286,126.561612,"unno","illumina","mgp15049"
"mgm4775061","host-associated","marine","animal_host-associated","sponge","United States of America","Cinachyrella sp metagenome",26.0112,-80.1495,"campbell","illumina","mgp83374"
"mgm4775062","host-associated","marine","animal_host-associated","sponge","United States of America","Cinachyrella sp metagenome",26.0112,-80.1495,"campbell","illumina","mgp83374"
"mgm4477803","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.725,162.311,"fierer","illumina","mgp2997"
"mgm4477805","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",34.9,-115.65,"fierer","illumina","mgp2997"
"mgm4477872","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",35.383,-105.933,"fierer","illumina","mgp2997"
"mgm4477873","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",34.333,-106.733,"fierer","illumina","mgp2997"
"mgm4477900","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-78.03,163.8732833,"fierer","illumina","mgp2997"
"mgm4477901","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.725,162.313,"fierer","illumina","mgp2997"
"mgm4477902","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.608,163.249,"fierer","illumina","mgp2997"
"mgm4477903","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.6375,162.887,"fierer","illumina","mgp2997"
"mgm4477904","free-living","terrestrial","soil","desert_soil","USA","cross-site soil metagen",-77.527,161.702,"fierer","illumina","mgp2997"
"mgm4482714","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483800","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483883","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4483943","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484670","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484859","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4484865","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4486239","host-associated","terrestrial","animal_host-associated","chyme","USA","Woodrat_foregut_metagenome_creosote",40.76078,-111.89105,"kohl","illumina","mgp9847"
"mgm4514245","free-living","terrestrial","soil","desert_soil","India","Project-151",23.8109,70.98319983,"bagatharia","ion torrent","mgp3513"
"mgm4514299","free-living","terrestrial","soil","desert_soil","India","Project-151",23.7925,71.008,"bagatharia","ion torrent","mgp3513"
"mgm4543019","free-living","terrestrial","soil","desert_soil","India","Project-151",23.908056,70.537806,"bagatharia","ion torrent","mgp3513"
"mgm4543020","free-living","terrestrial","soil","desert_soil","India","Project-151",23.941333,70.188389,"bagatharia","ion torrent","mgp3513"
"mgm4543022","free-living","terrestrial","soil","desert_soil","India","Project-151",23.940972,70.188444,"bagatharia","ion torrent","mgp3513"
"mgm4543023","free-living","terrestrial","soil","desert_soil","India","Project-151",23.940444,70.187889,"bagatharia","ion torrent","mgp3513"
"mgm4578704","host-associated","terrestrial","animal_host-associated","chyme","USA","Sagegrouse_cecal_metagenome",42.183333,-114.766667,"kohl","illumina","mgp10520"
