"samples","Realm","Biome","biosphere","life_style","ecosystem","habitat","latitude","longitude","antropization"
"ERR2108715","Subterranean-Freshwater","Subterranean_freshwaters","freshwater","free-living","groundwater","karst_porous",43.292222,-73.604444,"natural"
"ERR2191545","Subterranean-Freshwater","Subterranean_freshwaters","marine","free-living","groundwater","subsurface_saline",57.434,16.66,"natural"
"ERR2191546","Subterranean-Freshwater","Subterranean_freshwaters","marine","free-living","groundwater","subsurface_saline",57.434,16.66,"natural"
"mgm4466148","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466149","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466163","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466188","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466194","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466257","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4466602","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4467109","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4467420","Freshwater","Artificial_Wetland","freshwater","free-living","wastewater","sludge",22.21,114.22,"antropized"
"mgm4469340","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4469538","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4469540","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4469858","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4470009","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470010","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470253","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470254","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470255","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470315","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470378","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470381","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4470382","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","permafrost",64.677812,-157.833252,"natural"
"mgm4474351","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474352","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474355","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474357","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474358","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474359","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474360","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474361","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474369","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4474805","Terrestrial","Intensive_land-use","terrestrial","host-associated","human_host-associated","human_feces",60.44925,22.2592,"antropized"
"mgm4477803","Terrestrial","Polar_alpine_cryogenic","terrestrial","free-living","soil","desert_soil",-77.725,162.311,"natural"
"mgm4477804","Terrestrial","Savannas_and_grasslands","terrestrial","free-living","soil","savanna_soil",39.1,-96.6,"natural"
"mgm4477805","Terrestrial","Deserts_and_semi-deserts","terrestrial","free-living","soil","desert_soil",34.9,-115.65,"natural"
"mgm4477807","Terrestrial","Tropical-subtropical_forests","terrestrial","free-living","soil","forest_soil",-12.633,-71.233,"natural"
"mgm4477872","Terrestrial","Deserts_and_semi-deserts","terrestrial","free-living","soil","desert_soil",35.383,-105.933,"natural"
"mgm4477873","Terrestrial","Deserts_and_semi-deserts","terrestrial","free-living","soil","desert_soil",34.333,-106.733,"natural"
