samples,life_style,ecosystem,habitat,mean_si,FunRedundancy,FunRao,Simpson,richness
DRR125227,free-living,groundwater,porous_contaminated,0.8771595075201609,0.713534098429939,0.258152145987156,0.971686244417095,2485
ERR2108715,free-living,groundwater,karst_porous,0.92043921471013,0.461000364455029,0.21182223016399301,0.672822594619021,2502
ERR2191545,free-living,groundwater,subsurface_saline,0.837046602279117,0.686794641264638,0.237829588152653,0.924624229417291,2495
ERR2191546,free-living,groundwater,subsurface_saline,0.8922279127915264,0.681671981809447,0.269986642750216,0.951658624559663,2505
mgm4466148,host-associated,human_host-associated,human_feces,0.9725261539661236,0.659259491848161,0.2073101455091,0.866569637357261,2507
mgm4466149,host-associated,human_host-associated,human_feces,0.9625279256154988,0.595874223061262,0.274954622919193,0.870828845980454,2495
mgm4466163,host-associated,human_host-associated,human_feces,0.9549588673363021,0.722864964475427,0.226038411720794,0.948903376196221,2505
mgm4466188,host-associated,human_host-associated,human_feces,0.9646150691075932,0.680332411054482,0.210917327900156,0.891249738954638,2502
mgm4466194,host-associated,human_host-associated,human_feces,0.972471649911347,0.695784471543821,0.223400409443083,0.919184880986904,2506
mgm4466257,host-associated,human_host-associated,human_feces,0.9671031907925302,0.687758886716508,0.220223513742856,0.907982400459363,2501
mgm4466602,host-associated,human_host-associated,human_feces,0.9788848773258852,0.445281240717397,0.130397689661842,0.575678930379239,2510
mgm4467109,host-associated,human_host-associated,human_feces,0.9736262497944307,0.606525860235205,0.183118918506117,0.789644778741322,2491
mgm4467420,free-living,wastewater,sludge,0.8279258277981522,0.711612875274037,0.273325288277639,0.984938163551676,2495
mgm4469340,free-living,soil,permafrost,0.8091085672770634,0.676935438977061,0.260692403904613,0.937627842881674,2512
mgm4469538,free-living,soil,permafrost,0.8034434761579494,0.701363032107733,0.283944690256719,0.985307722364452,832
mgm4469540,free-living,soil,permafrost,0.8032179415728351,0.701375922967801,0.284035579616317,0.985411502584118,856
mgm4469858,host-associated,human_host-associated,human_feces,0.9652379956225287,0.718444399863184,0.217085307963361,0.935529707826545,1796
mgm4470009,free-living,soil,permafrost,0.7939211857356978,0.703303307792503,0.283454447290813,0.986757755083316,1820
mgm4470010,free-living,soil,permafrost,0.7938014693620963,0.703217961266557,0.283561142629377,0.986779103895934,2335
mgm4470253,free-living,soil,permafrost,0.823634571789348,0.689110135917229,0.277922113410244,0.967032249327473,1893
mgm4470254,free-living,soil,permafrost,0.7951651687124306,0.694403814898367,0.271303598786213,0.965707413684581,2375
mgm4470255,free-living,soil,permafrost,0.8345398229313337,0.672095072306407,0.268731488457582,0.940826560763989,2165
mgm4470315,free-living,soil,permafrost,0.8100879902826127,0.676384115088215,0.260053322596856,0.93643743768507,2418
mgm4470378,free-living,soil,permafrost,0.8334780550450571,0.670846405659269,0.26825781216856,0.939104217827828,2371
mgm4470381,free-living,soil,permafrost,0.7919180437301877,0.695397508138945,0.271452452478708,0.966849960617654,2402
mgm4470382,free-living,soil,permafrost,0.8213369118888075,0.688644431724464,0.277111572171054,0.965756003895519,2233
mgm4474351,host-associated,human_host-associated,human_feces,0.96270842429712,0.712961379906816,0.223991546061394,0.93695292596821,2307
mgm4474352,host-associated,human_host-associated,human_feces,0.9502702549827561,0.705625537375498,0.211272391468288,0.916897928843786,2146
mgm4474355,host-associated,human_host-associated,human_feces,0.9646126911731373,0.693299690191694,0.218281784474659,0.911581474666353,2107
mgm4474357,host-associated,human_host-associated,human_feces,0.9421502965507509,0.709164377089938,0.21993135484692,0.929095731936858,2436
mgm4474358,host-associated,human_host-associated,human_feces,0.9763007053509657,0.54099948763819,0.167216049157505,0.708215536795694,2464
mgm4474359,host-associated,human_host-associated,human_feces,0.9811753559543834,0.421132737522674,0.120480500892034,0.541613238414708,2464
mgm4474360,host-associated,human_host-associated,human_feces,0.9648235256189106,0.658051820246009,0.215928704460594,0.873980524706602,2458
mgm4474361,host-associated,human_host-associated,human_feces,0.9683753238197664,0.637063649465685,0.188697613676064,0.825761263141748,2406
mgm4474369,host-associated,human_host-associated,human_feces,0.9619846651267375,0.670662697475776,0.215394813577151,0.886057511052927,2369
mgm4474805,host-associated,human_host-associated,human_feces,0.9682607655129849,0.645827003501446,0.206098919655647,0.851925923157094,2302
mgm4477803,free-living,soil,desert_soil,0.8402904489510846,0.693817597644442,0.260280427174595,0.954098024819036,2219
mgm4477804,free-living,soil,savanna_soil,0.8249855994648775,0.694638650823533,0.279535584592791,0.974174235416324,2265
mgm4477805,free-living,soil,desert_soil,0.8372635709055658,0.699325291047136,0.283284783604589,0.982610074651726,2340
mgm4477807,free-living,soil,forest_soil,0.8185549148663646,0.695664683502459,0.284915065303597,0.980579748806056,2351
mgm4477872,free-living,soil,desert_soil,0.8269468637529529,0.700651112618426,0.284743617537527,0.985394730155953,2076
mgm4477873,free-living,soil,desert_soil,0.8307875960637842,0.6996790570301,0.285829118577111,0.985508175607211,2327
mgm4477874,free-living,soil,tundra_soil,0.8215093569516299,0.669520815851344,0.260169449929832,0.929690265781177,2181
mgm4477875,free-living,soil,forest_soil,0.8110396808763314,0.698240170958098,0.281470825485648,0.979710996443746,2325
mgm4477876,free-living,soil,forest_soil,0.8346905174199293,0.654154118853636,0.248224583365462,0.902378702219098,2409
mgm4477877,free-living,soil,forest_soil,0.8438911132621828,0.663810336079946,0.268960878600776,0.932771214680722,2399
mgm4477899,free-living,soil,forest_soil,0.8406845841599491,0.665343113746113,0.269190341651543,0.934533455397656,2413
mgm4477900,free-living,soil,desert_soil,0.776099359081154,0.71081051783131,0.279249034854983,0.990059552686293,2419
mgm4477901,free-living,soil,desert_soil,0.841602062915727,0.70425592475504,0.274424253348796,0.978680178103836,2396
mgm4477902,free-living,soil,desert_soil,0.824052330777826,0.704292274207447,0.277994949406376,0.982287223613822,2410
mgm4477903,free-living,soil,desert_soil,0.8306378245782131,0.699093110768921,0.279981202864892,0.979074313633813,2401
mgm4477904,free-living,soil,desert_soil,0.8334969479742294,0.701767911723761,0.27768480817299,0.97945271989675,2422
mgm4480719,free-living,wastewater,reactor_sludge,0.9280372436501091,0.689593050549088,0.213053644348639,0.902646694897727,2309
mgm4480764,free-living,wastewater,reactor_sludge,0.9225344915205849,0.693733210168372,0.219523032798671,0.913256242967043,2226
mgm4480776,free-living,wastewater,reactor_sludge,0.9173897169503948,0.688600789236762,0.220255160983415,0.908855950220177,1946
mgm4480815,free-living,wastewater,reactor_sludge,0.9106187051044015,0.697106291174484,0.224941417881505,0.922047709055989,2183
mgm4480859,free-living,wastewater,reactor_sludge,0.9054320991446767,0.702580472820105,0.233957849598763,0.936538322418868,2125
mgm4480861,free-living,wastewater,reactor_sludge,0.899067552866225,0.713770621767492,0.241926472059276,0.955697093826767,2136
