samples,life_style,ecosystem,habitat,mean_si,richness,diversity
DRR125227,free-living,groundwater,porous_contaminated,0.8771595075201609,2485,0.9798301424217754
ERR2108715,free-living,groundwater,karst_porous,0.92043921471013,2502,0.9651361640694603
ERR2191545,free-living,groundwater,subsurface_saline,0.837046602279117,2495,0.9757183455529997
ERR2191546,free-living,groundwater,subsurface_saline,0.8922279127915264,2505,0.9763098384761105
mgm4466148,host-associated,human_host-associated,human_feces,0.9725261539661236,2369,0.9659354414016981
mgm4466149,host-associated,human_host-associated,human_feces,0.9625279256154988,2322,0.9661760468919426
mgm4466163,host-associated,human_host-associated,human_feces,0.9549588673363021,2227,0.987155379599184
mgm4466188,host-associated,human_host-associated,human_feces,0.9646150691075932,2237,0.9832119387478404
mgm4466194,host-associated,human_host-associated,human_feces,0.972471649911347,2259,0.9811027079699494
mgm4466257,host-associated,human_host-associated,human_feces,0.9671031907925302,2318,0.9809204953893792
mgm4466602,host-associated,human_host-associated,human_feces,0.9788848773258852,2352,0.9773897338165031
mgm4467109,host-associated,human_host-associated,human_feces,0.9736262497944307,2334,0.982339153870158
mgm4467420,free-living,wastewater,sludge,0.8279258277981522,2277,0.9772495027930929
mgm4469340,free-living,soil,permafrost,0.8091085672770634,2392,0.9846583744710639
mgm4469538,free-living,soil,permafrost,0.8034434761579494,2330,0.9844843574500847
mgm4469540,free-living,soil,permafrost,0.8032179415728351,2281,0.9807028386825318
mgm4469858,host-associated,human_host-associated,human_feces,0.9652379956225287,2342,0.955504708436901
mgm4470009,free-living,soil,permafrost,0.7939211857356978,2351,0.9814038695362712
mgm4470010,free-living,soil,permafrost,0.7938014693620963,2361,0.9813609246447633
mgm4470253,free-living,soil,permafrost,0.823634571789348,2282,0.9798323954850049
mgm4470254,free-living,soil,permafrost,0.7951651687124306,2296,0.9670905105391919
mgm4470255,free-living,soil,permafrost,0.8345398229313337,2387,0.982170094933767
mgm4470315,free-living,soil,permafrost,0.8100879902826127,2273,0.9861276947510473
mgm4470378,free-living,soil,permafrost,0.8334780550450571,2322,0.9709809562961286
mgm4470381,free-living,soil,permafrost,0.7919180437301877,2381,0.9801280978813697
mgm4470382,free-living,soil,permafrost,0.8213369118888075,2183,0.9871594323441094
mgm4474351,host-associated,human_host-associated,human_feces,0.96270842429712,2331,0.9754599706536685
mgm4474352,host-associated,human_host-associated,human_feces,0.9502702549827561,2252,0.9819344779363012
mgm4474355,host-associated,human_host-associated,human_feces,0.9646126911731373,2257,0.8802818536302847
mgm4474357,host-associated,human_host-associated,human_feces,0.9421502965507509,2266,0.9749791546962429
mgm4474358,host-associated,human_host-associated,human_feces,0.9763007053509657,2285,0.9821739225604371
mgm4474359,host-associated,human_host-associated,human_feces,0.9811753559543834,2353,0.9778228824964469
mgm4474360,host-associated,human_host-associated,human_feces,0.9648235256189106,2333,0.9836267364256492
mgm4474361,host-associated,human_host-associated,human_feces,0.9683753238197664,2301,0.9764715337172358
mgm4474369,host-associated,human_host-associated,human_feces,0.9619846651267375,2216,0.9799682263894436
mgm4474805,host-associated,human_host-associated,human_feces,0.9682607655129849,2254,0.9844052449085099
mgm4477803,free-living,soil,desert_soil,0.8402904489510846,2349,0.9782037110263142
mgm4477804,free-living,soil,savanna_soil,0.8249855994648775,2203,0.985041302746011
mgm4477805,free-living,soil,desert_soil,0.8372635709055658,2153,0.972277579857776
mgm4477807,free-living,soil,forest_soil,0.8185549148663646,2281,0.9875181190199622
mgm4477872,free-living,soil,desert_soil,0.8269468637529529,2178,0.9788719326492682
mgm4477873,free-living,soil,desert_soil,0.8307875960637842,2323,0.9785440483141898
mgm4477874,free-living,soil,tundra_soil,0.8215093569516299,2317,0.9847715995716582
mgm4477875,free-living,soil,forest_soil,0.8110396808763314,2381,0.9532820086937132
